City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Ponta Do Sol,PT,2022-03-14 02:31:24,32.6667,-17.1,54.05,73,78,26.8
207,Junagarh,IN,2022-03-14 02:31:25,19.8667,82.9333,82.72,15,60,0.72
208,Popova,RU,2022-03-14 02:31:25,42.9603,131.7228,32.29,83,100,6.78
209,Chadiza,ZM,2022-03-14 02:31:25,-14.0678,32.4392,61.43,97,96,1.52
210,Trinidad,BO,2022-03-14 02:31:26,-14.8333,-64.9,70.21,92,11,3.96
211,Moranbah,AU,2022-03-14 02:31:26,-22.0016,148.0466,86.72,36,98,17.27
212,Provideniya,RU,2022-03-14 02:31:26,64.3833,-173.3,21.36,53,0,8.99
213,Pangnirtung,CA,2022-03-14 02:31:27,66.1451,-65.7125,-27.54,89,18,5.55
214,Crewe,GB,2022-03-14 02:31:27,53.0979,-2.4416,43.38,89,3,3.0
215,Gravdal,NO,2022-03-14 02:31:27,68.1214,13.5031,39.69,71,100,8.52
216,Antofagasta,CL,2022-03-14 02:27:38,-23.65,-70.4,63.68,81,55,5.48
217,Ahipara,NZ,2022-03-14 02:31:28,-35.1667,173.1667,72.86,61,11,4.7
218,Charqueada,BR,2022-03-14 02:31:28,-22.5097,-47.7781,68.31,95,96,2.1
219,Petropavlovsk-Kamchatskiy,RU,2022-03-14 02:31:28,53.0452,158.6483,32.59,60,20,6.71
220,Papayal,PE,2022-03-14 02:31:29,-4.0761,-80.7361,74.7,86,99,3.74
221,Maumere,ID,2022-03-14 02:31:29,-8.6199,122.2111,85.62,69,34,2.75
222,Tirumala,IN,2022-03-14 02:31:29,13.6833,79.35,62.78,36,73,1.68
223,Ust-Nera,RU,2022-03-14 02:31:30,64.5667,143.2,7.52,90,100,2.75
224,Kloulklubed,PW,2022-03-14 02:31:30,7.0419,134.2556,81.1,77,41,14.41
225,Maiduguri,NG,2022-03-14 02:31:30,11.8464,13.1603,72.19,28,27,7.61
226,La Gomera,GT,2022-03-14 02:31:30,14.0833,-91.05,77.67,73,12,3.56
227,Asfi,MA,2022-03-14 02:31:31,32.2994,-9.2372,58.91,74,100,17.2
228,Namibe,AO,2022-03-14 02:31:31,-15.1961,12.1522,70.36,80,100,9.42
229,Alamo,MX,2022-03-14 02:31:31,20.9167,-97.6833,61.34,71,89,3.15
230,Saint-Gilles,FR,2022-03-14 02:31:31,43.6766,4.4302,46.54,93,100,5.75
231,Qobustan,AZ,2022-03-14 02:31:32,40.0824,49.412,37.36,76,100,22.15
232,Grand Gaube,MU,2022-03-14 02:31:32,-20.0064,57.6608,79.38,83,100,5.99
233,High Level,CA,2022-03-14 02:31:32,58.5169,-117.136,-2.09,60,20,0.0
234,Labuhan,ID,2022-03-14 02:31:33,-6.8844,112.2051,84.33,74,96,3.6
235,Dawlatabad,AF,2022-03-14 02:31:33,36.4141,64.9053,58.96,81,95,4.03
236,Milkovo,RU,2022-03-14 02:31:33,54.7167,158.6167,24.91,79,100,3.98
237,Yulara,AU,2022-03-14 02:31:34,-25.2406,130.9889,94.84,13,55,5.75
238,Tasiilaq,GL,2022-03-14 02:31:34,65.6145,-37.6368,29.44,95,100,25.77
239,Madimba,TZ,2022-03-14 02:31:34,-10.4,40.3333,75.56,87,85,2.42
240,San Quintin,MX,2022-03-14 02:31:34,30.4833,-115.95,57.51,83,0,15.86
241,Javanrud,IR,2022-03-14 02:31:35,34.7961,46.5172,35.71,51,1,1.03
242,Nador,MA,2022-03-14 02:31:35,35.174,-2.9287,59.25,82,0,5.75
243,Salinopolis,BR,2022-03-14 02:31:35,-0.6136,-47.3561,77.16,89,100,3.18
244,Sarmellek,HU,2022-03-14 02:31:36,46.7122,17.1687,31.93,40,0,4.61
245,Kudahuvadhoo,MV,2022-03-14 02:31:36,2.6708,72.8944,82.62,66,97,2.28
246,Cherskiy,RU,2022-03-14 02:31:36,68.75,161.3,-5.13,92,100,4.25
247,Novikovo,RU,2022-03-14 02:31:37,51.1537,37.8879,13.95,95,89,7.96
248,Saldanha,ZA,2022-03-14 02:28:39,-33.0117,17.9442,51.85,63,92,16.13
249,Souillac,MU,2022-03-14 02:31:37,-20.5167,57.5167,77.38,88,75,5.75
250,Thakurdwara,IN,2022-03-14 02:31:38,29.2,78.85,74.8,32,0,1.83
251,Kasongo-Lunda,CD,2022-03-14 02:31:38,-6.4667,16.8167,70.14,85,100,0.63
252,Severo-Kurilsk,RU,2022-03-14 02:31:38,50.6789,156.125,30.38,85,99,7.54
253,Jawhar,SO,2022-03-14 02:31:28,2.7809,45.5005,74.59,84,47,11.05
254,Jaciara,BR,2022-03-14 02:31:39,-15.9653,-54.9683,71.47,96,96,1.79
255,Olafsvik,IS,2022-03-14 02:31:39,64.8945,-23.7142,38.17,77,100,26.91
256,Ascension,US,2022-03-14 02:31:39,30.2169,-90.9001,51.8,70,0,0.0
257,Dahra,DZ,2022-03-14 02:31:40,36.2546,0.8519,51.19,81,100,11.9
258,Mikuni,JP,2022-03-14 02:31:40,36.2171,136.1519,57.11,89,100,4.74
259,Cabedelo,BR,2022-03-14 02:31:40,-6.9811,-34.8339,79.47,78,91,9.19
260,Muscat,OM,2022-03-14 02:31:41,23.6139,58.5922,77.02,59,10,1.74
261,Eureka,US,2022-03-14 02:31:41,40.8021,-124.1637,52.75,75,100,3.04
262,Verkhnevilyuysk,RU,2022-03-14 02:31:41,63.4453,120.3167,0.54,88,100,4.27
263,Kahului,US,2022-03-14 02:29:44,20.8947,-156.47,84.22,48,40,17.27
264,Onda,ES,2022-03-14 02:31:42,39.9667,-0.25,55.9,69,100,11.39
265,Batagay-Alyta,RU,2022-03-14 02:31:42,67.8006,130.4114,-7.29,89,92,1.81
266,Bereznik,RU,2022-03-14 02:31:42,62.8551,42.7072,13.03,96,86,6.38
267,Lai,TD,2022-03-14 02:31:42,9.3952,16.2989,81.57,16,29,8.86
268,Lamu,KE,2022-03-14 02:31:43,-2.2717,40.902,79.02,86,93,5.75
