City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
602,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
604,Palu,ID,88.63,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
623,Ternate,ID,84.78,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
626,Tuy Hoa,VN,82.72,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
627,Cayhagan,PH,85.17,overcast clouds,9.6697,122.4256,Melrose Beach Resort
628,Maragogi,BR,78.08,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
637,Pringsewu,ID,85.59,overcast clouds,-5.3582,104.9744,Urban Style by Front One
638,Saint-Pierre,RE,77.92,light rain,-21.3393,55.4781,Lindsey Hôtel
640,Castlemaine,AU,86.29,overcast clouds,-37.0667,144.2167,Fig Cafe & Accommodation
643,Trat,TH,89.82,overcast clouds,12.5,102.5,สวนหนิง-อัศ
650,Bintulu,MY,88.21,scattered clouds,3.1667,113.0333,900 Boutique INN
652,Sirur,IN,88.47,clear sky,18.8333,74.3833,Shivtara Retreat
655,Honiara,SB,84.79,broken clouds,-9.4333,159.95,Heritage Park Hotel
659,Monrovia,LR,77.9,light rain,6.3005,-10.7969,Sunset Inn
672,Fare,PF,82.06,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
673,Pindi Bhattian,PK,81.36,few clouds,31.8978,73.273,شاہی دھی بھلےاینڈفرٹ چارٹ
674,Akyab,MM,84.76,clear sky,20.15,92.9,Hotel Memory
