City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
223,Kuala Terengganu,MY,2022-03-14 03:37:47,5.3302,103.1408,82.35,89,40,3.44,scattered clouds
224,Bridlington,GB,2022-03-14 03:37:47,54.0831,-0.1919,44.02,92,100,3.0,overcast clouds
225,Aviles,ES,2022-03-14 03:37:48,43.5547,-5.9248,49.93,83,75,2.3,broken clouds
226,Cloquet,US,2022-03-14 03:37:48,46.7216,-92.4594,29.59,50,0,6.91,clear sky
227,Namibe,AO,2022-03-14 03:37:48,-15.1961,12.1522,70.0,81,99,7.43,overcast clouds
228,Hithadhoo,MV,2022-03-14 03:36:03,-0.6,73.0833,83.01,70,98,3.85,overcast clouds
229,Sayyan,YE,2022-03-14 03:37:49,15.1718,44.3244,54.57,32,54,2.68,broken clouds
230,Igrim,RU,2022-03-14 03:37:49,63.1906,64.4162,2.32,96,98,5.06,overcast clouds
231,Urucara,BR,2022-03-14 03:37:49,-2.5364,-57.76,73.27,99,100,2.66,moderate rain
232,Greenfield,US,2022-03-14 03:37:49,42.9614,-88.0126,40.66,67,40,3.44,scattered clouds
233,Pafos,CY,2022-03-14 03:37:50,34.7667,32.4167,40.78,45,40,11.5,scattered clouds
234,Canchungo,GW,2022-03-14 03:37:50,12.0672,-16.0333,67.12,80,12,5.14,few clouds
235,Richards Bay,ZA,2022-03-14 03:37:50,-28.783,32.0377,70.66,94,4,5.41,clear sky
236,Port Dover,CA,2022-03-14 03:37:51,42.7834,-80.1997,30.81,90,100,13.78,overcast clouds
237,Ketchikan,US,2022-03-14 03:35:17,55.3422,-131.6461,40.98,87,100,10.36,light rain
238,Glendive,US,2022-03-14 03:37:51,47.1053,-104.7125,33.42,97,100,10.36,mist
239,Emerald,AU,2022-03-14 03:35:03,-23.5333,148.1667,88.34,30,75,8.05,broken clouds
240,Taltal,CL,2022-03-14 03:37:51,-25.4,-70.4833,66.02,83,10,2.06,clear sky
241,Kaitangata,NZ,2022-03-14 03:37:51,-46.2817,169.8464,61.07,74,36,7.61,scattered clouds
242,Bajos De Haina,DO,2022-03-14 03:37:52,18.4154,-70.0332,73.36,94,20,0.0,few clouds
243,Berkovica,BA,2022-03-14 03:37:52,44.6156,18.4294,21.51,71,1,3.53,clear sky
244,Tura,IN,2022-03-14 03:37:52,25.5198,90.2201,90.28,15,4,3.91,clear sky
245,Whyalla,AU,2022-03-14 03:37:53,-33.0333,137.5833,91.29,25,67,9.22,broken clouds
246,Villazon,BO,2022-03-14 03:37:53,-22.0866,-65.5942,45.43,74,18,9.31,few clouds
247,Tiksi,RU,2022-03-14 03:37:53,71.6872,128.8694,-14.19,97,98,1.88,overcast clouds
248,Lukulu,ZM,2022-03-14 03:34:17,-14.3707,23.242,63.1,98,100,4.81,overcast clouds
249,Coquimbo,CL,2022-03-14 03:37:54,-29.9533,-71.3436,60.53,100,100,5.75,overcast clouds
250,Macroom,IE,2022-03-14 03:37:54,51.9,-8.95,39.27,90,1,5.44,clear sky
251,Miandrivazo,MG,2022-03-14 03:37:54,-19.5167,45.4667,77.95,78,78,3.74,broken clouds
252,Port Macquarie,AU,2022-03-14 03:37:54,-31.4333,152.9167,76.89,64,23,11.12,few clouds
253,Coihaique,CL,2022-03-14 03:36:00,-45.5752,-72.0662,53.55,71,0,10.36,clear sky
254,Bambous Virieux,MU,2022-03-14 03:37:55,-20.3428,57.7575,81.21,89,75,8.05,light rain
255,Zhezkazgan,KZ,2022-03-14 03:37:55,47.8043,67.7144,22.98,86,100,11.18,overcast clouds
256,Tateyama,JP,2022-03-14 03:37:55,34.9833,139.8667,65.19,74,3,22.12,clear sky
257,Port Lincoln,AU,2022-03-14 03:35:03,-34.7333,135.8667,78.48,49,32,13.04,scattered clouds
258,Lakselv,NO,2022-03-14 03:37:56,70.0513,24.9718,24.62,80,100,16.11,overcast clouds
